iter	Passed	Remaining
0	159	159442
1	161	80346
2	162	53979
3	163	40792
4	165	32854
5	166	27544
6	167	23755
7	168	20935
8	170	18730
9	171	16968
10	172	15542
11	174	14366
12	175	13346
13	177	12468
14	178	11725
15	179	11058
16	181	10477
17	182	9953
18	183	9481
19	184	9052
20	186	8677
21	187	8341
22	189	8042
23	190	7765
24	192	7499
25	193	7260
26	195	7027
27	196	6812
28	197	6613
29	198	6429
30	200	6257
31	201	6099
32	203	5965
33	205	5832
34	206	5697
35	208	5575
36	209	5464
37	211	5352
38	212	5241
39	214	5138
40	215	5039
41	217	4961
42	218	4871
43	220	4785
44	221	4705
45	223	4628
46	224	4550
47	225	4476
48	226	4403
49	228	4334
50	229	4270
51	231	4211
52	232	4153
53	234	4099
54	235	4049
55	237	3997
56	238	3945
57	239	3894
58	241	3846
59	242	3802
60	243	3755
61	245	3712
62	246	3671
63	248	3628
64	249	3585
65	250	3544
66	251	3503
67	252	3465
68	253	3426
69	255	3388
70	256	3353
71	257	3318
72	258	3285
73	260	3256
74	262	3233
75	263	3205
76	264	3176
77	266	3148
78	267	3117
79	268	3088
80	269	3059
81	270	3031
82	271	2998
83	272	2971
84	273	2945
85	275	2923
86	276	2904
87	278	2882
88	279	2861
89	280	2839
90	282	2817
91	283	2794
92	284	2772
93	285	2750
94	286	2728
95	287	2707
96	288	2687
97	290	2670
98	291	2657
99	293	2639
100	294	2622
101	295	2604
102	297	2586
103	298	2569
104	299	2552
105	300	2535
106	301	2519
107	302	2502
108	304	2489
109	306	2477
110	307	2462
111	309	2450
112	310	2434
113	311	2420
114	312	2405
115	313	2391
116	314	2375
117	315	2361
118	317	2347
119	318	2336
120	320	2327
121	321	2314
122	323	2303
123	324	2291
124	325	2278
125	326	2265
126	327	2252
127	328	2239
128	330	2228
129	331	2216
130	332	2204
131	333	2195
132	335	2186
133	337	2178
134	338	2169
135	340	2160
136	341	2149
137	342	2139
138	343	2129
139	344	2119
140	346	2110
141	347	2099
142	349	2092
143	350	2084
144	351	2075
145	353	2068
146	355	2060
147	356	2051
148	357	2042
149	358	2033
150	360	2024
151	361	2015
152	362	2007
153	364	2000
154	365	1992
155	367	1986
156	368	1979
157	369	1970
158	370	1961
159	372	1953
160	372	1943
161	374	1936
162	375	1929
163	377	1922
164	378	1915
165	379	1908
166	381	1902
167	382	1894
168	384	1888
169	385	1881
170	386	1874
171	387	1866
172	388	1859
173	390	1852
174	391	1844
175	392	1837
176	393	1831
177	395	1824
178	396	1819
179	397	1813
180	399	1806
181	400	1799
182	401	1793
183	402	1786
184	404	1779
185	405	1773
186	406	1767
187	407	1761
188	409	1755
189	410	1749
190	411	1743
191	412	1737
192	414	1731
193	415	1725
194	416	1720
195	418	1714
196	419	1709
197	420	1703
198	421	1698
199	423	1693
200	424	1687
201	425	1682
202	427	1677
203	428	1672
204	429	1666
205	431	1661
206	432	1656
207	433	1651
208	434	1646
209	436	1641
210	437	1636
211	439	1632
212	440	1627
213	441	1622
214	443	1618
215	444	1613
216	445	1608
217	447	1604
218	448	1598
219	449	1594
220	450	1589
221	452	1584
222	453	1581
223	455	1577
224	456	1573
225	458	1569
226	460	1566
227	461	1562
228	463	1559
229	464	1555
230	465	1551
231	467	1547
232	468	1543
233	470	1540
234	471	1536
235	473	1532
236	474	1529
237	476	1524
238	477	1519
239	479	1517
240	480	1513
241	482	1510
242	483	1506
243	485	1502
244	486	1498
245	487	1495
246	489	1491
247	490	1487
248	492	1485
249	493	1481
250	495	1477
251	496	1473
252	498	1470
253	499	1467
254	501	1464
255	502	1460
256	503	1456
257	504	1452
258	506	1448
259	507	1444
260	508	1440
261	510	1437
262	511	1434
263	513	1430
264	514	1428
265	516	1425
266	517	1421
267	519	1417
268	520	1414
